datetime,phone_no,match_pk,match_id,team,amount,payout
18:07:11.232150,11740900,2,2__DM__VK,Vikings,100,198.0
18:07:11.390042,11740690,2,2__DM__VK,Vikings,100,181.0
18:07:11.571638,11740970,2,2__DM__VK,Dementors,100,195.0
18:07:11.594524,11741100,2,2__DM__VK,Vikings,60,108.6
18:07:11.676807,11740370,2,2__DM__VK,Dementors,55,103.4
18:07:11.696927,11740360,2,2__DM__VK,Dementors,55,99.55
18:07:11.739865,11740630,2,2__DM__VK,Dementors,90,157.5
18:07:11.780719,11740700,2,2__DM__VK,Vikings,70,137.2
18:07:11.857778,11740430,2,2__DM__VK,Dementors,85,147.9
18:07:11.894955,11740520,2,2__DM__VK,Dementors,60,100.2
18:07:11.934360,11741030,2,2__DM__VK,Vikings,85,172.55
18:07:11.995078,11740870,2,2__DM__VK,Vikings,85,164.05
18:07:12.055908,11740920,2,2__DM__VK,Dementors,60,106.2
18:07:54.075385,11740900,2,2__DM__VK,Vikings,100,198.0
18:07:54.238545,11740690,2,2__DM__VK,Vikings,100,181.0
18:07:54.418285,11740970,2,2__DM__VK,Dementors,100,195.0
18:07:54.438259,11741100,2,2__DM__VK,Vikings,60,108.6
18:07:54.520200,11740370,2,2__DM__VK,Dementors,55,103.4
18:07:54.540659,11740360,2,2__DM__VK,Dementors,55,99.55
18:07:54.577485,11740630,2,2__DM__VK,Dementors,90,157.5
18:07:54.617735,11740700,2,2__DM__VK,Vikings,70,137.2
18:07:54.691106,11740430,2,2__DM__VK,Dementors,85,147.9
18:07:54.728556,11740520,2,2__DM__VK,Dementors,60,100.2
18:07:54.769359,11741030,2,2__DM__VK,Vikings,85,172.55
18:07:54.835506,11740870,2,2__DM__VK,Vikings,85,164.05
18:07:54.898221,11740920,2,2__DM__VK,Dementors,60,106.2
18:16:40.385513,11740900,2,2__DM__VK,Vikings,100,198.0
18:16:40.548415,11740690,2,2__DM__VK,Vikings,100,181.0
18:16:40.723580,11740970,2,2__DM__VK,Dementors,100,195.0
18:16:40.742614,11741100,2,2__DM__VK,Vikings,60,108.6
18:16:40.815269,11740370,2,2__DM__VK,Dementors,55,103.4
18:16:40.836230,11740360,2,2__DM__VK,Dementors,55,99.55
18:16:40.874539,11740630,2,2__DM__VK,Dementors,90,157.5
18:16:40.909135,11740700,2,2__DM__VK,Vikings,70,137.2
18:16:40.985290,11740430,2,2__DM__VK,Dementors,85,147.9
18:16:41.025232,11740520,2,2__DM__VK,Dementors,60,100.2
18:16:41.067320,11741030,2,2__DM__VK,Vikings,85,172.55
18:16:41.125694,11740870,2,2__DM__VK,Vikings,85,164.05
18:16:41.185864,11740920,2,2__DM__VK,Dementors,60,106.2
